Site,REP,Date,Analyte,Result
1,REP 1,6/24/2019,NH4,0
1,REP 1,6/24/2019,NOx,0.226
1,REP 1,6/24/2019,OP,0.112
1,REP 2,6/24/2019,NH4,0
1,REP 2,6/24/2019,NOx,0.263
1,REP 2,6/24/2019,OP,0.135
1,REP 3,6/24/2019,NH4,0
1,REP 3,6/24/2019,NOx,0.351
1,REP 3,6/24/2019,OP,0.16
2,REP 1,6/24/2019,NH4,0
2,REP 1,6/24/2019,NOx,0.243
2,REP 1,6/24/2019,OP,0.095
2,REP 2,6/24/2019,NH4,0
2,REP 2,6/24/2019,NOx,0.289
2,REP 2,6/24/2019,OP,0.109
2,REP 3,6/24/2019,NH4,0
2,REP 3,6/24/2019,NOx,0.377
2,REP 3,6/24/2019,OP,0.137
3,REP 1,6/24/2019,NH4,0
3,REP 1,6/24/2019,NOx,0.402
3,REP 1,6/24/2019,OP,0.17
3,REP 2,6/24/2019,NH4,0
3,REP 2,6/24/2019,NOx,0.278
3,REP 2,6/24/2019,OP,0.142
3,REP 3,6/24/2019,NH4,0
3,REP 3,6/24/2019,NOx,0.305
3,REP 3,6/24/2019,OP,0.14
4,REP 1,6/24/2019,NH4,0
4,REP 1,6/24/2019,NOx,0.401
4,REP 1,6/24/2019,OP,0.118
4,REP 2,6/24/2019,NH4,0
4,REP 2,6/24/2019,NOx,0.349
4,REP 2,6/24/2019,OP,0.096
4,REP 3,6/24/2019,NH4,0
4,REP 3,6/24/2019,NOx,0.515
4,REP 3,6/24/2019,OP,0.142
5,REP 1,6/24/2019,NH4,0
5,REP 1,6/24/2019,NOx,0.516
5,REP 1,6/24/2019,OP,0.133
5,REP 2,6/24/2019,NH4,0
5,REP 2,6/24/2019,NOx,0.416
5,REP 2,6/24/2019,OP,0.116
5,REP 3,6/24/2019,NH4,0
5,REP 3,6/24/2019,NOx,0.547
5,REP 3,6/24/2019,OP,0.144
6,REP 1,6/24/2019,NH4,0
6,REP 1,6/24/2019,NOx,0.375
6,REP 1,6/24/2019,OP,0.111
6,REP 2,6/24/2019,NH4,0
6,REP 2,6/24/2019,NOx,0.312
6,REP 2,6/24/2019,OP,0.086
6,REP 3,6/24/2019,NH4,0
6,REP 3,6/24/2019,NOx,0.507
6,REP 3,6/24/2019,OP,0.131
7,REP 1,6/24/2019,NH4,0
7,REP 1,6/24/2019,NOx,0.53
7,REP 1,6/24/2019,OP,0.138
7,REP 2,6/24/2019,NH4,0
7,REP 2,6/24/2019,NOx,0.481
7,REP 2,6/24/2019,OP,0.125
7,REP 3,6/24/2019,NH4,0
7,REP 3,6/24/2019,NOx,0.507
7,REP 3,6/24/2019,OP,0.13
8,REP 1,6/24/2019,NH4,0
8,REP 1,6/24/2019,NOx,0.408
8,REP 1,6/24/2019,OP,0.11
8,REP 2,6/24/2019,NH4,0
8,REP 2,6/24/2019,NOx,0.293
8,REP 2,6/24/2019,OP,0.08
8,REP 3,6/24/2019,NH4,0
8,REP 3,6/24/2019,NOx,0.327
8,REP 3,6/24/2019,OP,0.094
9,REP 1,6/24/2019,NH4,0
9,REP 1,6/24/2019,NOx,0.483
9,REP 1,6/24/2019,OP,0.118
9,REP 2,6/24/2019,NH4,0
9,REP 2,6/24/2019,NOx,0.228
9,REP 2,6/24/2019,OP,0.048
9,REP 3,6/24/2019,NH4,0
9,REP 3,6/24/2019,NOx,0.322
9,REP 3,6/24/2019,OP,0.087
10,REP 1,6/24/2019,NH4,0
10,REP 1,6/24/2019,NOx,0.476
10,REP 1,6/24/2019,OP,0.11
10,REP 2,6/24/2019,NH4,0
10,REP 2,6/24/2019,NOx,0.471
10,REP 2,6/24/2019,OP,0.114
10,REP 3,6/24/2019,NH4,0
10,REP 3,6/24/2019,NOx,0.484
10,REP 3,6/24/2019,OP,0.114
